size,num_sections,num_unique_sections,section_names_entropy,avg_section_size,min_section_size,max_section_size,total_section_size,avg_entropy,min_entropy,max_entropy,has_packed_sections,has_executable_sections,writable_executable_sections,num_imports,num_unique_dlls,num_unique_imports,imports_to_dlls_ratio,has_import_name_mismatches,suspicious_imports_count,num_exports,suspicious_exports,suspicious_api_chains,has_delayed_imports,is_dll,is_executable,is_system_file,has_aslr,has_dep,is_signed,has_rich_header,rich_header_entries,num_strings,avg_string_length,has_suspicious_strings,has_anti_debug,has_vm_detection_imports,has_vm_detection_strings,has_vm_mac_addresses,has_anti_debug_imports,has_anti_debug_strings,has_process_creation_imports,has_createprocess,has_setwindowshookex,has_nop_sleds,has_resources,num_resources,has_embedded_exe,has_debug,has_tls,has_relocations,ep_in_first_section,ep_in_last_section,ep_section_entropy,has_suspicious_sections,label
93138992,9,9,3.169925001442312,10346496.0,512,93096960,93118464,2.6684427699059596,0.22401940743984491,7.999997564104697,0,1,0,51,2,51,25.5,0,4,0,0,0,0,0,2,0,64,256,0,0,0,1107526,4.595180609755437,1,0,0,1,0,1,1,1,1,0,0,1,6,0,1,0,0,1,0,6.072706101712135,0,0
1203712,8,8,3.0,150336.0,512,651776,1202688,3.379386951876664,0.020393135236084953,6.649743205230402,0,1,0,272,9,272,30.22222222222222,0,11,2,1,2,0,0,2,0,64,256,0,0,0,5127,12.129120343280672,1,1,0,0,0,1,1,1,1,0,0,1,5,0,1,1,0,1,0,6.633392658468549,0,0
171888,6,6,2.584962500721156,13824.0,0,38400,82944,4.053246444046895,0.0,6.703764913161655,1,1,0,171,8,171,21.375,1,4,0,0,0,0,0,2,0,64,256,0,0,0,1823,9.331870543060889,1,0,0,0,0,1,1,1,1,0,0,1,5,0,0,0,0,1,0,6.497884651859417,0,0
54032,10,10,3.321928094887362,4091.2,0,18432,40912,2.7221419306878274,0.0,6.064655424819204,1,1,0,104,4,104,26.0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,588,16.593537414965986,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,6.064655424819204,0,0
427094,6,6,2.584962500721156,58624.0,0,307200,351744,2.939926803621313,0.0,6.497884651859417,1,1,0,171,8,171,21.375,1,4,0,0,0,0,0,2,0,64,256,0,0,0,1728,8.447337962962964,1,0,0,0,0,1,1,1,1,0,0,1,5,0,0,0,0,1,0,6.497884651859417,0,0
1674632,4,4,2.0,417664.0,17408,1312256,1670656,5.078296130644783,4.094195458147265,6.551976669343432,0,1,0,594,16,594,37.125,0,9,0,0,0,0,0,2,0,0,256,0,0,0,5579,11.119376232299695,1,1,0,1,0,1,1,1,0,1,0,1,4,0,1,0,0,1,0,6.551976669343432,0,0
111512,5,5,2.321928094887362,19968.0,1024,76288,99840,5.096295442799608,3.9567447959614404,6.573695848098902,0,1,0,127,14,127,9.071428571428571,0,3,0,0,0,0,0,2,0,64,256,0,0,0,776,12.610824742268042,1,1,0,0,0,1,1,0,0,0,0,1,2,0,1,1,0,1,0,6.2828917109183475,0,0
119374,3,3,1.584962500721156,27989.333333333332,0,83456,83968,3.327963017416797,0.0,7.915530298318026,1,1,2,7,2,7,3.5,0,3,0,0,1,0,0,2,0,0,0,0,0,0,1939,7.917483238782878,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.915530298318026,0,0
126823,3,3,1.584962500721156,30549.333333333332,0,91136,91648,3.320620903382841,0.0,7.8935039562161595,1,1,2,7,2,7,3.5,0,3,0,0,1,0,0,2,0,0,0,0,0,0,2046,8.194037145650048,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8935039562161595,0,0
172558,4,4,2.0,8192.0,4096,16384,32768,3.0728895607870266,0.9027500859347133,5.78096855963579,0,1,0,65,4,65,16.25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1935,6.004134366925064,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,5.78096855963579,0,0
